A note on rankings: Most rankings below are drawn from the QS World University Rankings by Subject 2026 (the most widely used global subject ranking, released March 2026) and India's NIRF Rankings 2025 (Government of India, released September 2025). Rankings shift year to year — treat the numbers as a snapshot, not a permanent hierarchy, and always check the current-year ranking before applying.

Master Scholarship Directory (Applies Across Sectors)

Rather than repeating full details 30 times, here are the major funding programs referenced throughout — most are field-agnostic and apply to whichever university/subject you choose.

Scholarship	Funded By	Coverage	Best For
Harvard University	USA	#1 QS Medicine 2026	Full-need financial aid, no loans
University of Oxford	UK	#2 globally, #1 THE Medical 2026	Rhodes Scholarship, Clarendon Fund
Johns Hopkins University	USA	Top 3 globally	Need-based grants, Hopkins Health scholarships
Stanford University	USA	Top 3 globally	Knight-Hennessy Scholars
Charité – Universitätsmedizin Berlin	Germany	World's most-improved medical school 2026	DAAD scholarships, low/no tuition at German public unis
AIIMS New Delhi	India	NIRF Medical #1 (2025)	Merit-based low fees, central govt stipends for MD/MS
CMC Vellore	India	NIRF Medical Top 3	Institutional scholarships, mission/church-linked aid
5. Science & Research
University	Country	Ranking/Reputation	Scholarships
Harvard University	USA	Top globally, Natural Sciences	Full-need aid
MIT	USA	Top globally	Full-need aid, research assistantships
Caltech	USA	Elite for physical sciences	Merit + need-based aid, research stipends
University of Cambridge	UK	Top globally	Gates Cambridge Scholarship
Stanford University	USA	Top globally	Knight-Hennessy Scholars
IISc Bangalore	India	India's #1 research university (NIRF)	INSPIRE Fellowship, DBT/CSIR/UGC fellowships
IIT Kanpur	India	Top 5 NIRF Engineering, strong research	Institute + DST research scholarships
6. Education & Academia
University	Country	Ranking/Reputation	Scholarships
UCL Institute of Education	UK	Long-time world #1 for Education	UCL Global Excellence Scholarship
Harvard Graduate School of Education	USA	Top 5 globally	Need-based aid, HGSE fellowships
University of Oxford (Dept. of Education)	UK	Top 5 globally	Rhodes, Clarendon Fund
University of Cambridge (Faculty of Education)	UK	Top 10 globally	Gates Cambridge Scholarship
University of Melbourne	Australia	Top-ranked in Asia-Pacific	Melbourne Research Scholarship
Tata Institute of Social Sciences (TISS) Mumbai	India	India's premier social sciences/education institute	TISS merit-cum-means scholarships
Jamia Millia Islamia	India	Strong NIRF-ranked university	Central govt + minority scholarships
7. Law, Legal Services & Public Policy
University	Country	Ranking/Reputation	Scholarships
University of Oxford	UK	#1 QS Law 2026	Rhodes Scholarship, Clarendon Fund
Harvard Law School	USA	#2 globally	Need-based aid
University of Cambridge	UK	#3 globally	Gates Cambridge Scholarship
Yale Law School	USA	Consistently top 5 in US	Yale need-based grants
NUS Faculty of Law	Singapore	#1 in Asia	NUS/ASEAN scholarships
NLSIU Bangalore	India	India's #1 law school (NIRF)	Merit scholarships, SC/ST/OBC fee waivers
NALSAR Hyderabad	India	Top 3 NIRF Law	Institute merit scholarships
8. Government, Public Service & Military
University	Country	Ranking/Reputation	Scholarships
Harvard Kennedy School	USA	World's leading public policy school	Need-based aid, Zuckerman Fellowship
Sciences Po Paris	France	#3 globally in Politics & Int'l Studies	Sciences Po Emile Boutmy Scholarship
London School of Economics (LSE)	UK	Elite for politics/policy	LSE Graduate Support Scheme, Chevening
Georgetown University (Walsh School)	USA	Top for foreign service/diplomacy	Need-based aid
Australian National University (ANU)	Australia	Top public policy in Asia-Pacific	Australia Awards
Jawaharlal Nehru University (JNU)	India	India's top for international relations	UGC/Central govt scholarships
Indian Institute of Public Administration (IIPA), Delhi	India	India's premier public administration institute	Institute merit scholarships
9. Arts, Design & Creative Fields
University	Country	Ranking/Reputation	Scholarships
Royal College of Art	UK	World's #1 art & design school	RCA scholarships, Chevening (for eligible programs)
Parsons School of Design	USA	Top-tier global design school	Parsons merit scholarships
Rhode Island School of Design (RISD)	USA	Elite fine arts/design school	RISD need-based aid
Aalto University	Finland	Leading design school in Europe	Aalto University Scholarship
UCL (Bartlett/Slade)	UK	Top for architecture & fine art	UCL Global Excellence Scholarship
National Institute of Design (NID), Ahmedabad	India	India's premier design institute	NID merit-cum-means scholarships
Srishti Manipal Institute of Art, Design & Technology	India	Leading private design school	Institute scholarships
10. Media, Entertainment & Performing Arts
University	Country	Ranking/Reputation	Scholarships
USC School of Cinematic Arts	USA	World's top film school	USC merit & need-based aid
NYU Tisch School of the Arts	USA	Elite performing/film arts school	NYU need-based grants
Juilliard School	USA	World's top performing arts conservatory	Juilliard scholarships (most students receive some aid)
Berklee College of Music	USA	World's leading contemporary music school	Berklee merit scholarships
National Film and Television School	UK	UK's top film school	NFTS bursaries, Chevening (select programs)
Film and Television Institute of India (FTII), Pune	India	India's premier film institute	Institute + govt scholarships
Whistling Woods International, Mumbai	India	Leading private film school	Merit scholarships
11. Marketing, Advertising & Sales
University	Country	Ranking/Reputation	Scholarships
Kellogg School of Management (Northwestern)	USA	Top-ranked for marketing	Kellogg Merit Scholarships
Wharton School (UPenn)	USA	Elite business/marketing program	Wharton Fellowship Fund
INSEAD	France/Singapore	Top global b-school	INSEAD scholarships
Ross School of Business (Michigan)	USA	Strong marketing reputation	Merit-based scholarships
NUS Business School	Singapore	Top in Asia	NUS/ASEAN scholarships
MICA, Ahmedabad	India	India's premier communications/marketing school	MICA merit-cum-means scholarships
XLRI Jamshedpur	India	Top-tier Indian b-school	Institute scholarships, need-based aid
12. Hospitality, Travel & Tourism
University	Country	Ranking/Reputation	Scholarships
École hôtelière de Lausanne (EHL)	Switzerland	World's #1 hospitality school	EHL merit & need-based scholarships
Cornell Nolan School of Hotel Administration	USA	Elite Ivy League hospitality program	Cornell need-based aid
Les Roches Global Hospitality Education	Switzerland	Top-tier hospitality school	Les Roches scholarships
Glion Institute of Higher Education	Switzerland	Leading hospitality school	Glion merit scholarships
University of Nevada, Las Vegas (UNLV)	USA	Strong hospitality/tourism program	UNLV international scholarships
Institute of Hotel Management (IHM) Pusa, New Delhi	India	India's top govt hotel management institute	Central govt/state scholarships
Welcomgroup Graduate School (WGSHA), Manipal	India	Leading private hotel management school	Manipal merit scholarships
13. Food Production, Agriculture & Farming
University	Country	Ranking/Reputation	Scholarships
Wageningen University & Research	Netherlands	World's #1 agriculture university	Wageningen University Fund scholarships
UC Davis	USA	Top US agriculture school	Need + merit-based aid
Cornell University (CALS)	USA	Elite agriculture/life sciences college	Cornell need-based aid
China Agricultural University	China	Leading Asian agriculture university	CSC (China Scholarship Council)
University of Reading	UK	Strong agriculture/food science program	Reading International scholarships
Indian Agricultural Research Institute (IARI/Pusa), Delhi	India	India's top agricultural research institute (NIRF)	ICAR scholarships, INSPIRE
Punjab Agricultural University, Ludhiana	India	Leading Indian agricultural university	State + ICAR scholarships
14. Skilled Trades & Construction
University/Institute	Country	Ranking/Reputation	Scholarships
RWTH Aachen University	Germany	Top European technical/construction university	DAAD scholarships
TAFE NSW	Australia	Leading vocational trades network	Australian Apprenticeships support
SAIT (Southern Alberta Institute of Technology)	Canada	Top Canadian trades/polytechnic	SAIT entrance scholarships
ITE (Institute of Technical Education)	Singapore	Singapore's leading vocational institute	ITE bursaries, govt subsidies
City & Guilds-accredited colleges	UK	Global benchmark for trade certifications	Apprenticeship levy funding (UK)
Industrial Training Institutes (ITI) network	India	Government-run trades training (nationwide)	Free/subsidized government training
L&T Construction Skills Training Institute	India	Leading private construction training institute	Company-sponsored training scholarships
15. Manufacturing & Industrial Production
University	Country	Ranking/Reputation	Scholarships
Georgia Institute of Technology	USA	Top US industrial engineering program	Georgia Tech merit scholarships
Purdue University	USA	Elite manufacturing/industrial engineering	Purdue need + merit aid
RWTH Aachen University	Germany	Top European industrial engineering	DAAD scholarships
Nanyang Technological University	Singapore	Strong industrial/manufacturing programs	NTU scholarships
University of Michigan	USA	Leading industrial & operations engineering	Michigan merit scholarships
IIT Kharagpur	India	Strong industrial engineering (NIRF top 5)	Govt of India / institute scholarships
PSG College of Technology, Coimbatore	India	Reputed private engineering institute	Merit-cum-means scholarships
16. Transportation & Logistics
University	Country	Ranking/Reputation	Scholarships
MIT Center for Transportation & Logistics	USA	World-leading logistics research center	MIT need-based aid
Delft University of Technology	Netherlands	Top European transportation engineering	Delft Excellence Scholarship
University of Michigan (Transportation Research Institute)	USA	Leading US transportation research	Michigan merit scholarships
Cranfield University	UK	Specialist aviation/logistics university	Cranfield scholarships
Embry-Riddle Aeronautical University	USA	World's top aviation-focused university	ERAU merit scholarships
Indian Institute of Foreign Trade (IIFT), New Delhi	India	India's premier trade/logistics institute	Institute merit scholarships
Indira Gandhi Rashtriya Uran Akademi (IGRUA)	India	India's premier flying/aviation academy	State-subsidized training costs
17. Energy, Mining & Natural Resources
University	Country	Ranking/Reputation	Scholarships
Colorado School of Mines	USA	World-leading mining/petroleum school	CSM merit scholarships
Curtin University	Australia	Top mining engineering program	Curtin International Scholarships
McGill University	Canada	#2 globally in Mineral & Mining Engineering (QS 2026)	McGill entrance scholarships
Delft University of Technology	Netherlands	Strong energy engineering programs	Delft Excellence Scholarship
Imperial College London	UK	Elite petroleum/energy engineering	Imperial President's Scholarship
IIT (ISM) Dhanbad	India	India's premier mining engineering institute	Govt of India / institute scholarships
Indian Institute of Petroleum & Energy, Visakhapatnam	India	Specialist govt petroleum/energy institute	Central govt scholarships
18. Environment, Conservation & Sustainability
University	Country	Ranking/Reputation	Scholarships
UC Berkeley	USA	Top environmental science program	Need-based aid
Wageningen University & Research	Netherlands	World #1 for environmental/agricultural science	Wageningen scholarships
Yale School of the Environment	USA	Elite environmental studies school	Yale need-based aid
ETH Zurich	Switzerland	Leading European environmental science	ESOP scholarship
University of Cambridge (Earth & Marine Sciences)	UK	Top globally	Gates Cambridge Scholarship
TERI School of Advanced Studies, New Delhi	India	India's top environmental sciences institute	TERI merit scholarships
Wildlife Institute of India, Dehradun	India	India's premier wildlife/conservation institute	Govt of India fellowships
19. Social Services, Counseling & Community Work
University	Country	Ranking/Reputation	Scholarships
Columbia University School of Social Work	USA	Top-ranked US social work school	Need-based aid
University of Michigan School of Social Work	USA	Elite social work program	Merit + need-based aid
University of Chicago (Crown Family School)	USA	Top-tier social work/policy school	Need-based aid
University of Melbourne	Australia	Leading social work program in Asia-Pacific	Melbourne scholarships
University of Oxford (Social Policy)	UK	Globally respected program	Rhodes, Clarendon Fund
Tata Institute of Social Sciences (TISS), Mumbai	India	India's premier social work institute	TISS merit-cum-means scholarships
University of Delhi (Dept. of Social Work)	India	Strong reputed program	Central govt scholarships
20. Beauty, Personal Care & Wellness
Institute	Country	Ranking/Reputation	Scholarships
Vidal Sassoon Academy	UK/USA	Globally renowned hairstyling academy	Limited merit-based grants
London School of Beauty & Makeup	UK	Leading UK beauty/makeup school	Institute payment plans, some bursaries
Toni & Guy Hairdressing Academy	UK (global campuses)	Globally recognized hairdressing training	Apprenticeship-linked funding
Aveda Institutes	USA (multiple locations)	Well-known cosmetology network	Aveda scholarship programs
CIDESCO-affiliated schools	Switzerland (global network)	International beauty therapy certification body	Varies by affiliated school
Lakmé Academy	India	India's leading beauty & makeup training	Institute scholarships
VLCC Institute of Beauty & Nutrition	India	Major Indian beauty/wellness training network	Institute payment plans
21. Sports & Athletics
University	Country	Ranking/Reputation	Scholarships
Loughborough University	UK	Historically world #1 for sports science	Loughborough sports scholarships
University of Queensland	Australia	Top-ranked, Australia dominates sports subjects	UQ sports scholarships
University of Sydney	Australia	Top 3 globally for sports-related subjects	Sydney scholarships
German Sport University Cologne	Germany	Europe's leading dedicated sports university	DAAD scholarships
University of Florida	USA	Strong sports management program	Athletic + academic scholarships
Netaji Subhas National Institute of Sports (NSNIS), Patiala	India	India's premier sports training institute	Sports Authority of India (SAI) stipends
Lakshmibai National Institute of Physical Education (LNIPE), Gwalior	India	India's top physical education university	Institute merit scholarships
22. Real Estate & Property
University	Country	Ranking/Reputation	Scholarships
MIT Center for Real Estate	USA	World-leading real estate program	MIT need-based aid
Wharton School (UPenn)	USA	Elite real estate finance program	Wharton Fellowship Fund
University of Cambridge (Land Economy)	UK	Long-established, highly respected	Gates Cambridge Scholarship
National University of Singapore	Singapore	Top real estate program in Asia	NUS scholarships
University of Reading (Henley Business School)	UK	UK's leading dedicated real estate school	Henley scholarships
RICS School of Built Environment, Amity University	India	RICS-accredited, India's leading program	Merit scholarships
NAREDCO-affiliated training institutes	India	Industry-body-linked real estate training	Company-sponsored training
23. Retail & Customer Service
University	Country	Ranking/Reputation	Scholarships
University of Stirling (Institute for Retail Studies)	UK	Historically the leading dedicated retail program	Stirling international scholarships
Cornell University	USA	Strong retail-focused business programs	Cornell need-based aid
University of Manchester	UK	Reputed retail management programs	Manchester merit scholarships
ESCP Business School	France/Europe	Leading European business school	ESCP scholarships
Babson College	USA	Top for retail entrepreneurship	Babson merit scholarships
National Institute of Fashion Technology (NIFT), Delhi	India	India's top retail/fashion management institute	NIFT merit-cum-means scholarships
Pearl Academy	India	Leading private fashion/retail institute	Institute scholarships
24. Maritime & Aviation Specialties
University	Country	Ranking/Reputation	Scholarships
World Maritime University	Sweden	UN-affiliated, world's premier maritime university	WMU scholarships (IMO-linked)
Southampton Solent University	UK	Leading UK maritime studies program	Solent scholarships
Massachusetts Maritime Academy	USA	Top US maritime academy	State/federal maritime aid
Embry-Riddle Aeronautical University	USA	World's leading aviation university	ERAU merit scholarships
Cranfield University	UK	Elite aerospace/aviation postgraduate school	Cranfield scholarships
Indian Maritime University, Chennai	India	India's premier maritime university	Govt of India scholarships
Indira Gandhi Rashtriya Uran Akademi (IGRUA)	India	India's premier civil aviation training academy	Subsidized govt training costs
25. Writing, Publishing & Translation
University	Country	Ranking/Reputation	Scholarships
University of Iowa (Iowa Writers' Workshop)	USA	World's most prestigious creative writing program	Teaching/research assistantships
University of East Anglia	UK	Elite UK creative writing program	UEA scholarships
Columbia University Journalism School	USA	Top-ranked journalism school globally	Need-based aid, Pulitzer fellowships
Sorbonne University	France	Historic center for literature/translation studies	Eiffel Excellence Scholarship
University of Edinburgh	UK	Strong English literature/writing program	Edinburgh Global scholarships
Indian Institute of Mass Communication (IIMC), Delhi	India	India's premier journalism/mass comm institute	Govt-subsidized fees
Jamia Millia Islamia (Mass Communication Research Centre)	India	Leading Indian media studies program	Minority + merit scholarships
26. Emerging & Interdisciplinary Fields (AI, Space, Biotech)
University	Country	Ranking/Reputation	Scholarships
MIT	USA	Global leader in AI/robotics research	Full-need financial aid
Stanford University (Stanford HAI)	USA	Leading AI research institute	Knight-Hennessy Scholars
Carnegie Mellon University (Robotics Institute)	USA	World's top robotics program	CMU merit scholarships
ETH Zurich	Switzerland	Leading European AI/robotics research	ESOP scholarship
University of Toronto (Vector Institute)	Canada	World-renowned AI research hub	Toronto graduate scholarships
IIIT Hyderabad	India	India's premier AI/CS research institute	Institute merit scholarships
IISc Bangalore	India	India's top interdisciplinary research university	INSPIRE/DBT/CSIR fellowships
27. Skilled Craft & Artisan Work
Institute	Country	Ranking/Reputation	Scholarships
Central Saint Martins	UK	World-renowned craft & design school	UAL scholarships
Rhode Island School of Design (RISD)	USA	Elite craft/fine arts school	RISD need-based aid
Aalto University	Finland	Leading Nordic craft & design school	Aalto scholarships
Kyoto Saga University of Arts	Japan	Respected Japanese traditional craft/arts school	MEXT scholarship
Istituto per l'Arte e il Restauro, Florence	Italy	Renowned art restoration/craft institute	Institute-specific grants
Indian Institute of Crafts & Design (IICD), Jaipur	India	India's leading crafts & design institute	Institute merit scholarships
Kala Raksha Vidhyalaya, Gujarat	India	Specialist traditional craft design school (for artisans)	Sponsored artisan scholarships
28. Security & Protective Services
University	Country	Ranking/Reputation	Scholarships
John Jay College of Criminal Justice	USA	World's leading criminal justice school	CUNY need-based aid
University of Portsmouth (Institute of Criminal Justice Studies)	UK	Top UK criminology/criminal justice program	Portsmouth scholarships
Griffith University	Australia	Top-ranked criminology program	Griffith scholarships
University of Toronto	Canada	Strong criminology department	Toronto graduate scholarships
FBI National Academy, Quantico	USA	Elite professional law-enforcement training (not a degree)	Agency-sponsored (not open enrollment)
Sardar Vallabhbhai Patel National Police Academy, Hyderabad	India	India's premier police training academy	Government-funded (for selected officers)
National Law University, Delhi	India	Leading Indian law/security studies university	Merit scholarships
29. Freelance, Gig & Independent Work
University	Country	Ranking/Reputation	Scholarships
Babson College	USA	World's #1 for entrepreneurship (long-running US ranking)	Babson merit scholarships
Stanford Graduate School of Business	USA	Top global entrepreneurship ecosystem	Knight-Hennessy Scholars
INSEAD	France/Singapore	Strong global entrepreneurship focus	INSEAD scholarships
University of Oxford (Saïd Business School)	UK	Leading entrepreneurship center in Europe	Skoll Scholarship (social entrepreneurship)
National University of Singapore (Entrepreneurship Centre)	Singapore	Top Asian entrepreneurship hub	NUS scholarships
Indian School of Business (ISB), Hyderabad	India	India's top-ranked private b-school	ISB merit-cum-need scholarships
IIM Bangalore (NSRCEL Entrepreneurship Centre)	India	Leading Indian entrepreneurship incubator	Institute scholarships
30. Unique, Niche & Unconventional Careers
Institute	Country	Ranking/Reputation	Scholarships
Le Cordon Bleu	France (global campuses)	World's most recognized culinary arts institute	Institute-specific scholarships
ISIPCA, Grasse	France	World's leading perfumery/fragrance school	Limited merit grants
Sotheby's Institute of Art	UK/USA	Leading art appraisal/auction studies institute	Institute scholarships
Gemological Institute of America (GIA)	USA (global campuses)	World's top gemology/jewelry certification body	GIA scholarships
National Centre for Circus Arts	UK	Leading circus arts training institute	Access bursaries
Gemological Institute India (GII), Mumbai	India	India's leading gemology training institute	Institute scholarships
National Institute of Fashion Technology (NIFT), Delhi	India	India's premier fashion/design institute (niche specializations available)	NIFT merit-cum-means scholarships
31. Karnataka Universities & Colleges — Technology, Engineering and Science
University	Country	Ranking/Reputation	Scholarships
Indian Institute of Science (IISc), Bengaluru	India	Leading Indian research university for science, engineering and interdisciplinary research	INSPIRE, DBT, CSIR/UGC fellowships and institute support; eligibility varies
National Institute of Technology Karnataka (NITK), Surathkal	India	National Institute of Technology with engineering, science and management programmes	Central and institute merit-cum-means support; category-based schemes may apply
International Institute of Information Technology Bangalore (IIIT-B)	India	Specialist technology institute in Bengaluru	Institute scholarships and external merit/need funding; verify current calls
RV College of Engineering, Bengaluru	India	Established engineering college with broad technical programmes	Merit, need and government scholarship options; verify with the college
BMS College of Engineering, Bengaluru	India	Established Bengaluru engineering college	Merit, need and government scholarship options; verify with the college
Ramaiah Institute of Technology, Bengaluru	India	Engineering and technology institute in Bengaluru	Merit, need and government scholarship options; verify with the institute
PES University, Bengaluru	India	Private university with technology, design, business and science programmes	Merit and need-based support; verify current university policies
KLE Technological University, Hubballi	India	Technology-focused university in Karnataka	Merit and need-based support; verify current university policies
32. Karnataka Universities & Colleges — Health, Law, Arts and Social Sciences
University	Country	Ranking/Reputation	Scholarships
National Law School of India University (NLSIU), Bengaluru	India	National law university in Bengaluru	Merit support and applicable government fee waivers; verify current eligibility
National Institute of Mental Health and Neuro Sciences (NIMHANS), Bengaluru	India	Public institute for mental health, neuroscience and related postgraduate education	Government/institute fellowships where applicable; programme-specific eligibility
St. John's Medical College, Bengaluru	India	Medical education and health-sciences college	Institutional and government scholarship options; verify current eligibility
Manipal Academy of Higher Education, Manipal	India	Multidisciplinary university in Karnataka with health, engineering, design and management programmes	Merit and need-based scholarships; verify current university policies
University of Mysore, Mysuru	India	Public university offering science, humanities, education and social-science programmes	Government and university scholarships; verify current notifications
Bangalore University, Bengaluru	India	Public university with affiliated colleges across multiple disciplines	Government and university scholarships; verify current notifications
Christ University, Bengaluru	India	Multidisciplinary university with arts, commerce, science, law and social sciences	Merit and need-based support; verify current university policies
St. Joseph's University, Bengaluru	India	Multidisciplinary university with arts, science, commerce and social-science programmes	Merit and need-based support; verify current university policies
Azim Premji University, Bengaluru	India	University focused on education, development and social-sector studies	Financial aid and scholarships for eligible programmes; verify current policies
Srishti Manipal Institute of Art, Design and Technology, Bengaluru	India	Art, design and creative-technology institute	Merit and need-based support; verify current university policies
University of Agricultural Sciences, Bengaluru	India	Public university for agriculture, horticulture and allied sciences	ICAR, state and university scholarship options; verify current notifications
Karnataka Veterinary, Animal and Fisheries Sciences University, Bidar	India	Public university for veterinary, animal and fisheries sciences	State, ICAR and university scholarship options; verify current notifications
